,inci,title,peh_class
15,"['Water (Aqua/Eau)', 'Pvp', 'Isobutane', 'Propane', 'Phenoxyethanol', 'Fragrance (Parfum)', 'Cocamidopropyl Betaine', 'Caprylyl Glycol', 'Butane', 'Sodium Chloride', 'PEG/PPG-18/18 DIMETHICONE', 'Propylene Glycol', 'PEG/PPG-15/15 Allyl Ether Acetate', 'Sodium Benzoate', 'Alpha Isomethyl Ionone', 'Benzyl Benzoate', 'Benzyl salicylate', 'Butylphenyl\xa0Methylpropional', 'Citronallol', 'Hexyl Cinnamal', 'ISOEUGENOL', 'Linalool']",TIGI CATWALK CURLESQUE – nieobciążająca pianka do włosów falowanych,E
16,"['Aqua', 'PEG-25 Hydrogenated Castor Oil', 'PEG-7 Glyceryl Cocoate', 'Cocamidopropyl Betaine', 'Phenoxyethanol', 'Benzyl Alcohol', 'Parfum (Fragrance)', 'Cetrimonium Chloride', 'Polyquaternium-11', 'Polyquaternium-55', 'Sodium Chloride', 'Panthenol (Vitamin B-5)', 'Citric Acid', 'Butyrospermum Parkii (Shea) Butter', 'Coumarin', 'Benzyl Benzoate', 'Hexyl Cinnamal']",CANTU WAVE WHIP CURLING MOUSSE – piankowy mus do fal,E
17,"['Water (Aqua/Eau)', 'Carbomer', 'Polysorbate-20', 'VP/VA copolymer', 'Fragrance', 'Ricinus Communis (Castor) Seed Oil', 'Butyrospermum Parkii (Shea) Butter', 'Aminomethyl Propanol (Water Soluble)', 'Phenoxyethanol', 'Benzoic Acid', 'Ethylhexylglycerin', 'Glycereth-2 Cocoate', 'Glycerin', 'Disodium Edta', 'Hydrolyzed Soy Protein']",CANTU STRENGTHENING STYLING GEL BLACK CASTOR OIL – żel wzmacniający o dużym utrwaleniu,E
18,['Punica Granatum Seed Oil'],"Your Natural Side – wzmacniający olej z pestek granatu (nierafinowany), do włosów wysokoporowatych",E
19,"['Cocos Nucifera (Coconut) Oil', 'Terminalia Chebula Extract', 'Emblica Officinalis (Amla) Fruit Extract', 'Terminalia Belirica Extract', 'Azadirachta Indica Leaf Extract', 'Centella Asiatica Plant Extract', 'Hedychium Spicatum Rhizome Extract', 'Lawsonia Inermis (Henna) Leaf Extract', 'Lecithin', 'Perfume', 'Aqua', 'Milk', 'Rosmarinus Officinalis (Rosemary) Leaf Essential Oil', 'Tocopherol Acetate (Vitamin E)', 'Lemon Citrus Medica Oil', 'Butylated Hydroxy Toulene']",Vatika – olejek kokosowy z ziołami,E
20,"['Aqua/Water/Eau', 'Butane', 'VP/VA copolymer', 'Isobutane', 'Propane', 'Polysorbate-20', 'Polyquaternium-55', 'Pvp', 'Polyquaternium-4', 'Polyquaternium-11', 'Cyclopentasiloxane', 'Polyquaternium-7', 'Propylene Glycol', 'PPG-5-Ceteth-20', 'Benzophenone-4', 'PEG/PPG-14/4 Dimethicone', 'Ethylparaben', 'Methylparaben', 'Propylparaben', 'Imidazolidinyl Urea', 'Cetrimonium Chloride', 'Cocamidopropyl Betaine', 'Tetrasodium EDTA', 'Glycerin', 'sodium methylparaben', 'Sodium Dehydroacetate', 'Sorbic Acid', 'Parfum (Fragrance)', 'Limonene', 'Linalool', 'Eugenol', 'Geraniol', 'Citronellol']",KEMON HAIR MANYA BUILD FOAM – mocna pianka do stylizacji włosów zwiększająca objętość,E
21,"['Water (Aqua)', 'Polyquaternium-72', 'Shea Butter Ethyl Esters', 'Polyacrylamide', 'C13-14 Isoparaffin', 'Laureth-7', 'Lactobacillus/Tomato Fruit Ferment Extract', 'Oryza Sativa (Rice) Extract', 'Keratin Amino Acids', 'Leuconostoc/Radish Rootferment Filtrate', 'Acyl Coenzyme A Desaturase (SCD-1)', 'Fragrance (Parfum)', 'Disodium Edta', 'Phenoxyethanol', 'Ethylhexylglycerin']",NOT YOUR MOTHER’S CURL TALK DEFINING CREAM – emolientowy krem bez spłukiwania definiujący loki,E
22,['Butyrospermum Parkii Seed Oil'],"ETJA ZIMNOTŁOCZONY OLEJ Z MASŁA SHEA – do włosów wysokoporowatych, średnioporowatych i niskoporowatych",E
23,"['Aqua', 'Cetearyl Alcohol', 'Cetrimonium Chloride', 'Linum Usitatissimum (Linseed) Seed Oil', 'Citric Acid', 'Benzophenone-3', 'Propylene Glycol', 'Parfum', 'Benzyl Alcohol', 'Methylchloroisothiazolinone', 'Methylisothiazolinone']",KALLOS COLOR – popularna maska,E
24,['Prunus Amygdalus Dulcis (Sweet Almond) Oil'],"Your Natural Side – nierafinowany olej ze słodkich migdałów, do włosów średnioporowatych",E
25,"['Aqua', 'Cetearyl Alcohol', 'Cetrimonium Chloride', 'Aminopropyl Dimethicone', 'Isohexadecane', 'Parfum', 'Ficus Carica Fruit Extract', 'Citric Acid', 'Propylene Glycol', 'Benzyl Alcohol', 'Methylchloroisothiazolinone', 'Methylisothiazolinone']",KALLOS FIG – emolientowa odżywka do włosów,E
26,"['Aqua', 'Pvp', 'Acrylates/Hydroxyesters Acrylates Copolymer', 'Acrylates/Steareth-20 Methacrylate Crosspolymer', 'Aminomethyl Propanol', 'Phenoxyethanol', 'PEG-40 Hydrogenated Castor Oil', 'Glycerin', 'Panthenol', 'Caffeine', 'Taurine', 'Benzotriazolyl Dodecyl p-Cresol', 'Parfum', 'DMDM Hydantoin', 'Benzoic Acid', 'Ethylhexylglycerin', 'Sodium Benzoate', 'Benzyl salicylate', 'Limonene', 'CI 60730']",TAFT LOOKS V12 POWER GEL SPEED HOLD – bardzo mocny żel do stylizacji włosów falowanych i kręconych,E
27,['Butyrospermum Parkii (Shea) Butter'],"Your Natural Side – masło shea, nierafinowane, do włosów średnio- i wysokoporowatych",E
28,"['Water (Aqua/Eau)', 'Carbomer', 'Polysorbate-20', 'VP/VA copolymer', 'Fragrance (Parfum)', 'Persea Gratissima (Avocado) Seed Oil', 'Butyrospermum Parkii (Shea) Butter', 'Aminomethyl Propanol', 'Phenoxyethanol', 'Benzoic Acid', 'Ethylhexylglycerin', 'Glycereth-2 Cocoate', 'Glycerin', 'Disodium Edta', 'Yellow 6 (CI 15985)', 'CI 47005']",CANTU AVOCADO HYDRATING GEL FLEXIBLE HOLD- emolientowy żel stylizujący do włosów z olejem awokado i masłem shea,E
29,['Prunus Armeniaca (Apricot) Seed Oil'],"Your Natural Side – nierafinowany olej morelowy, do włosów średnioporowatych",E
30,"['Aqua', 'Orbignya Oleifera (Babassu) Seed Oil', 'Cetearyl Alcohol', 'Behentrimonium Chloride', 'Astrocaryum Murumuru Seed Butter', 'Caprylic/Capric Triglyceride', 'Starch Hydroxypropyltrimonium Chloride', 'Kaolin', 'Fucus Vesiculosus Extract', 'Cetrimonium Chloride', 'Phenoxyethanol', 'Benzoic Acid', 'Dehydroacetic Acid', 'BHT', 'Parfum']",EMOLIENTOWA AKACJA ANWEN odżywka do włosów o niskiej porowatości,E
31,['Euterpe Oleracea (Acai) Seed Oil'],Your Natural Side – regenerujący olej acai (euterpa),E
32,"['Aqua', 'Cetearyl Alcohol', 'Cetrimonium Chloride', 'Persea Gratissima (Avocado) Seed Oil', 'Behentrimonium Chloride', 'Parfum', 'Behenamidopropyl Dimethylamine', 'Dipalmitoylethyl Hydroxyethylmonium Metosulfate', 'Cetyl Alcohol', 'Stearyl Alcohol', 'Citric Acid', 'Helianthus Annuus (Sunflower) Seed Oil', 'Cocos Nucifera (Coconut) Oil', 'Linum Usitatissimum (Linseed) Seed Oil', 'Lactic Acid', 'Argania Spinosa Kernel Oil', 'Macadamia Ternifolia Seed Oil', 'Olea Europaea (Olive) Fruit Oil', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Propylene Glycol', 'Benzyl Alcohol', 'Methylchloroisothiazolinone']",KALLOS AVOCADO – emolientowe maska do włosów falowanych,E
33,"['Aqua', 'Cetearyl Alcohol', 'Myristyl Alcohol', 'Cetrimonium Chloride', 'Dimethicone', 'Amodimethicone', 'Cocos Nucifera (Coconut) Oil', 'Wheat Amino Acids', 'Soy Amino Acids', 'Arginine Hcl', 'Serine', 'Threonine', 'Ppg-3 Caprylyl Ether', 'Polyquaternium-37', 'Trideceth-10', 'Lactic Acid', 'Parfum', 'Sodium Benzoate', 'Benzyl Alcohol', 'Potassium Sorbate', 'Phenoxyethanol', 'Linalool']",DR. SANTE COCONUT HAIR – emolientowa odżywka z olejem kokosowym do włosów suchych i łamliwych,E
