,inci,title,peh_class
10,"[' Aqua', ' Cetearyl Alcohol', ' Triticum Vulgare (Wheat) Germ Oil (olej z kiełków pszenicy)', ' Behentrimonium Chloride', ' Honey (miód)', ' Glycerin', ' Lanolin', ' Theobroma Cacao (Cocoa) Seed Butter (masło kakaowe)', ' Panthenol', ' Silicone Quaternium-22', ' Polyglyceryl-3 Caprate', ' Dipropylene Glycol', ' Cocamidopropyl Betaine', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Coumarin', ' Limonene', ' Linalool', ' Cinnamyl Alcohol.']",ANWEN 'Kiełki pszenicy i Kakao' - Maska do włosów wysokoporowatych SASZETKA 10ml,E
11,"['\xa0Aqua', ' Cetearyl Alcohol', ' Triticum Vulgare (Wheat) Germ Oil (olej z kiełków pszenicy)', ' Behentrimonium Chloride', ' Honey (miód)', ' Glycerin', ' Lanolin', ' Theobroma Cacao (Cocoa) Seed Butter (masło kakaowe)', ' Panthenol', ' Silicone Quaternium-22', ' Polyglyceryl-3 Caprate', ' Dipropylene Glycol', ' Cocamidopropyl Betaine', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Coumarin', ' Limonene', ' Linalool', ' Cinnamyl Alcohol.']",ANWEN 'Kiełki pszenicy i Kakao' - Maska do włosów wysokoporowatych SZKŁO 180ml,E
12,"[' Aqua', ' Cetearyl Alcohol', ' Kaolin (glinka biała)', ' Behentrimonium Chloride', ' Cocos Nuciefera (Coconut) Oil (olej kokosowy)', ' Glycerin', ' Orbignya Oleifera Seed Oil (olej babassu)', ' Panthenol', ' Cysteine HCl', ' Arginine', ' Sodium Hyaluronate (kwas hialuronowy)', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool.']",ANWEN 'Kokos i Glinka' -  Maska do włosów niskoporowatych SZKŁO 180ml,E
13,"[' Aqua', ' Cetearyl Alcohol', ' Kaolin (glinka biała)', ' Behentrimonium Chloride', ' Cocos Nuciefera (Coconut) Oil (olej kokosowy)', ' Glycerin', ' Orbignya Oleifera Seed Oil (olej babassu)', ' Panthenol', ' Cysteine HCl', ' Arginine', ' Sodium Hyaluronate (kwas hialuronowy)', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool.']",ANWEN 'Kokos i Glinka' - Maska do włosów niskoporowatych 200ml,E
14,"[' Aqua', ' Cetearyl Alcohol', ' Kaolin (glinka biała)', ' Behentrimonium Chloride', ' Cocos Nucifera (Coconut) Oil (olej kokosowy)', ' Glycerin', ' Orbignya Oleifera Seed Oil (olej babassu)', ' Panthenol', ' Cysteine HCl', ' Arginine', ' Sodium Hyaluronate (kwas hialuronowy)', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Limonene', ' Citronellol', ' Geraniol', ' Linalool.']",ANWEN 'Kokos i Glinka' - Maska do włosów niskoporowatych SASZETKA 10ml,E
15,"[' Aqua', ' Orbignya Oleifera Seed Oil', ' Cetearyl Alcohol', ' Behentrimonium Chloride', ' Astrocaryum Murumuru Seed Butter', ' Caprylic/Capric Triglyceride', ' Starch Hydroxypropyltrimonium Chloride', ' Kaolin', ' Fucus Vesiculosus Extract', ' Cetrimonium Chloride', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' BHT', ' Parfum.']",ANWEN Emolientowa Akacja - Odżywka do włosów o niskiej porowatości 200ml,E
16,"['\xa0Aqua', ' Cetearyl Alcohol', ' Butyrospermum Parkii (Shea Butter) (masło shea)', ' Cucurbita Pepo (Pumpkin) Seed Oil (olej z pestek dyni)', ' Behentrimonium Chloride', ' Brassica Oleracea Italica Seed Oil (olej brokułowy)', ' Papaver Somniferum Seed Oil (olej makowy)', ' Carthamus Tinctorius Seed Oil (olej z krokosza barwierskiego)', ' Raphanus Sativus Seed Oil (olej z nasion rzodkiewki)', ' Cetrimonium Chloride', ' Starch Hydroxypropyltrimonium Chloride', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Citronallol', ' Geraniol', ' Linalool.']",ANWEN Emolientowa Róża - MAŁA odżywka do włosów o wysokiej porowatości 100ml,E
17,"['\xa0Aqua', ' Cetearyl Alcohol', ' Butyrospermum Parkii (Shea Butter) (masło shea)', ' Cucurbita Pepo (Pumpkin) Seed Oil (olej z pestek dyni)', ' Behentrimonium Chloride', ' Brassica Oleracea Italica Seed Oil (olej brokułowy)', ' Papaver Somniferum Seed Oil (olej makowy)', ' Carthamus Tinctorius Seed Oil (olej z krokosza barwierskiego)', ' Raphanus Sativus Seed Oil (olej z nasion rzodkiewki)', ' Cetrimonium Chloride', ' Starch Hydroxypropyltrimonium Chloride', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum', ' Citronallol', ' Geraniol', ' Linalool.']",ANWEN Emolientowa Róża - odżywka do włosów o wysokiej porowatości 200ml,E
18,"['\xa0Aqua', ' Macadamia Ternifolia Seed Oil (olej macadamia)', ' Cetearyl Alcohol', ' Behentrimonium Chloride', ' Brassica Oleracea Italica Seed Oil (olej brokułowy)', ' Moringa Oleifera Seed Oil (olej moringa)', ' Prunus Domestica (Plum) Seed Oil (olej z pestek śliwki)', ' Camellia Japonica Seed Oil (olej tsubaki)', ' Starch Hydroxypropyltrimonium Chloride', ' Cetrimonium Chloride', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum.']",ANWEN Emolientowy Irys - MAŁA odżywka do włosów o średniej porowatości 100ml,E
19,"['\xa0Aqua', ' Macadamia Ternifolia Seed Oil (olej macadamia)', ' Cetearyl Alcohol', ' Behentrimonium Chloride', ' Brassica Oleracea Italica Seed Oil (olej brokułowy)', ' Moringa Oleifera Seed Oil (olej moringa)', ' Prunus Domestica (Plum) Seed Oil (olej z pestek śliwki)', ' Camellia Japonica Seed Oil (olej tsubaki)', ' Starch Hydroxypropyltrimonium Chloride', ' Cetrimonium Chloride', ' Phenoxyethanol', ' Benzoic Acid', ' Dehydroacetic Acid', ' Parfum.']",ANWEN Emolientowy Irys - odżywka do włosów o średniej porowatości 200ml,E
20,"['\xa0Aqua/Water/Eau', ' Cocos Nucifera (Coconut) Oil', ' Betaine', ' Quaternium-91', ' Cetrimonium Methosulfate', ' Cetearyl Alcohol', ' Cetyl Esters', ' Cetyl Alcohol', ' Glycerin', ' Butyrospermum Parkii (Shea) Butter', ' Phytosterols', ' Mangifera Indica (Mango) Seed Butter', ' Cocos Nucifera (Coconut) Fruit Powder', ' Citrus Reticulata (Tangerine) Fruit Extract', ' Phenoxyethanol', ' Glycerin', ' Camellia Oleifera Leaf Extract', ' Glycerin', ' Pyrus Malus (Apple) Fruit Extract', ' Glycerin', ' Phenoxyethanol', ' Citrus Limon (Lemon) Peel Extract', ' Glycerin', ' Phenoxyethanol', ' Saccharum Officinarum (Sugarcane) Extract', ' Fragrance/Parfum (Limonene)', ' Tocopheryl Acetate', ' Caprylyl Glycol', ' Phenoxyethanol', ' Sodium Benzoate', ' Polyquaternium-37', ' Propylene Glycol Dicaprylate/Dicaprate', ' PPG-1 Trideceth-6', ' Abies Balsamea (Balsam Canada) Resin', ' Caprylic/Capric Triglyceride']",AS I AM Hydration Elation Maska głęboko odżywiająca 227g,E
21,"[' Aqua/Water/Eau', ' Cetearyl Alcohol', ' Cetyl Alcohol', ' Cocos Nucifera (Coconut) Fruit Powder', ' Phyllanthus Emblica Fruit Powder', ' Beta Vulgaris (Beet) Root Extract', ' Phytosterols', ' Serenoa Serrulata Fruit Extract', ' Camellia Oleifera Leaf Extract', ' Glycerin', ' Pyrus Malus (Apple) Fruit Extract', ' Citrus Limon (Lemon) Peel Extract', ' Saccharum Officinarum (Sugar Cane) Extract', ' Betaine', ' Behentrimonium Methosulfate', ' Stearamidopropyl Dimethylamine', ' Citric Acid', ' Phenoxyethanol', ' Caprylyl Glycol', ' Potassium Sorbate', ' Polyacrylamide', ' Fragrance/Parfum', ' Anise Alcohol', ' Coumarin', ' Limonene.']",AS I AM Leave-In Conditioner Odżywka bez spłukiwania 237ml,E
22,"['\xa0Aqua/Water/Eau', ' Glycine Soja (Soybean) Oil', ' Prunus Amygdalus Dulcis (Sweet Almond) Oil', ' Theobroma Cacao (Cocoa) Seed Butter', ' Butyrospermum Parkii (Shea) Butter', ' Cetearyl Alcohol', ' Prunus Armeniaca (Apricot) Kernel Oil', ' Betaine', ' Simmondsia Chinensis (Jojoba) Seed Oil', ' Triticum Vulgare (Wheat) Germ Oil', ' Beta Vulgaris (Beet) Root Extract', ' Beeswax/Cera Alba/Cire d’abeille', ' Polyacrylamide', ' C13-14 Isoparaffin', ' Laureth-7', ' Tocopheryl Linoleate', ' BHT', ' Ascorbic Acid', ' Sodium Bicarbonate', ' Potassium Sorbate', ' Phenoxyethanol', ' Caprylyl Glycol', ' Xanthan Gum', ' Fragrance/Parfum (Anise Alcohol', ' Coumarin', ' Limonene)', ' Cetyl Alcohol', ' Polysorbate 60', ' PEG-75 Lanolin', ' Laureth-9']",AS I AM Moisture Milk Odżywka bez spłukiwania 237ml,E
23,"['\xa0Aqua', ' Cetearyl Alcohol', ' Behentrimonium Chloride', ' Vitis Vinifera Seed Oil', ' Acetum', ' Prunus Armeniaca Fruit Extract', ' Prunus Persica Fruit Extract', ' Pyrus Malus Fruit Extract', ' Panthenol', ' Olus Oil', ' Tocopherol', ' Linoleic Acid', ' Linolenic Acid', ' Tocopheryl Acetate', ' Retinyl Palmitate', ' Bioflavonoids', ' Biotin', ' Pyridoxine HCL', ' Cetrimonium Chloride', ' Propylene Glycol', ' Polysorbate 20', ' Polysorbate 80', ' Parfum', ' Linalool', ' Citric Acid.']",BARWA NATURALNA Nabłyszczająca odżywka octowa 200ml,E
24,"['\xa0Aqua', ' Cetearyl Alcohol', ' Behentrimonium Chloride', ' Persea Gratissima (Avocado) Oil', ' Vegetable Oil', ' Butyrospermum Parkii Butter', ' Cocos Nucifera Oil', ' Biotin', ' Bioflavonoids', ' Pyridoxine HCI', ' Linoleic Acid', ' Linolenic Acid', ' Tocopherol', ' Retinyl Palmitate', ' Tocopheryl Acetate', ' Panthenol', ' Glycerin', ' Cetrimonium Chloride', ' Propylene Glycol', ' Polysorbate 20', ' Citric Acid', ' Parfum', ' Benzyl Salicylate', ' Limonene.']",BARWA NATURALNA Regenerująca odżywka awokado 200ml,E
25,"[' BEHENTRIMONIUM METHOSULFATE', ' CETYL ALCOHOL', ' THEOBROMA CACAO SEED BUTTER', ' HYDROGENATED VEGETABLE OIL/SIMMONDSIA CHINESIS SEED OIL', ' MELIA AZADIRACHTA SEED OIL', ' PANAX GINSENG ROOT EXTRACT', ' SQUALANE', ' CAPRYLIC/CAPRIC TRIGLYCERIDE', ' CYMBOPOGON FLEXUOSUS OIL*', ' TOCOPHERYL ACETATE', ' ALOE BARBADENSIS EXTRACT', ' BUTYLENE GLYCOL *Citral', ' Geraniol', ' Limonene', ' Linalool.']",BIAŁY KOTEŁ Odżywka w kostce - Aloes - Neem - Żeń-szeń 30g RE-FILL,E
26,"['\xa0Nałożyć\xa0odżywkę\xa0na umyte', ' wilgotne włosy. Zmyć letnią wodą po upływie 10 - 20 minut.\xa0\n\nSkład:\xa0Aqua', ' Vitis Vinifera Seed Oil (olej z pestek winogron)', ' Cetearyl Alcohol', ' Cetyl Alcohol', ' Glycerin', ' Persea Gratissima Butter (masło\xa0avocado)', ' Stearic Acid', ' Xylitol', ' Panthenol', ' Glyceryl Laurate', ' Decyl Glucoside', ' Cocamidopropyl Betaine', ' Cyamopsis Tetragonoloba Gum', ' Sodium Alginate', ' Tocopheryl Acetate', ' Lactic Acid', ' Sodium Benzoate', ' Lavandula Angustifolia Oil (olej lawendowy)', ' Parfum.\n\nPojemność: 300ml\nProdukt zgodny z CG']",BIOLAVEN Odżywka z olejem z pestek winogron 300ml,E
27,[''],BIOLAVEN x NAPIEKNEWLOSY.PL Zestaw szampon + odżywka z olejem z pestek winogron 2x300ml,E
